timestamp,author_id,text,geo,cleaned_text,predicted_label,prediction_text
2025-06-18 09:12:35+00:00,536631224.0,RT @DudespostingWs: Reporter canoeing in about 6 inches of flood water while 2 guys easily pass through 😂 https://t.co/QpFgcztvWt,"(13.08, 80.27)  ",rt reporter canoeing 6 inches flood water 2 guys easily pass,0,✅ Not Disaster
2025-06-18 09:12:35+00:00,1.67e+18,"RT @Partisangirl: Unit 8200 on fire, do you think there were survivors?

Try to doom less. 

https://t.co/QLI4f3c1hp","(19.07, 72.87)   ",rt unit 8200 fire think survivors try doom less,0,✅ Not Disaster
2025-06-18 09:12:35+00:00,962945910.0,"RT @snb19692: 59 killed and 200 injured as Israeli tanks fire on unarmed, starving and desperate Palestinian men women and children!!!
WTAF…","(28.61, 77.21)  ",rt 59 killed 200 injured israeli tanks fire unarmed starving desperate palestinian men women children wtaf,1,🚨 Disaster
2025-06-18 09:12:35+00:00,1.65e+18,RT @365CharlesParis: this beat is still fire... https://t.co/dADWZY7nRN,,rt beat still fire,0,✅ Not Disaster
2025-06-18 09:12:35+00:00,1.61e+18,"RT @BaxterD: 💲 100  in 48  H 

⚡️RP  &amp; React 🚀/🔥 on Dexscreener : 👇

https://t.co/viemfASs3d

Post Proof

(AD, NFA, DYOR)

——————————
🚨 You…",,rt 100 48 h rp amp react dexscreener post proof ad nfa dyor,0,✅ Not Disaster
2025-06-18 09:12:34+00:00,1.82e+18,"RT @warintel4u: ⚡️Iranian Foreign Ministry Spokesman:  

Regional countries realize that Israel will not stop at any limit and is trying to…",,rt iranian foreign ministry spokesman regional countries realize israel stop limit trying,0,✅ Not Disaster
2025-06-18 09:12:34+00:00,8.32e+17,@UMochi_ HER JAM TRACK IS FIRE,,jam track fire,0,✅ Not Disaster
2025-06-18 09:12:34+00:00,1.27e+18,"RT @ouen296: 総額10万円分のAmazonギフトカード✨
リポストで毎月296名に🎁

／

お知らせ提供 @nekochudoku_ten

【猫愛たっぷりTシャツ】猫中毒を後世に伝えたい『猫中毒展』と作品集の支援募集！
https://t.co/nDPz9aeA…",,rt 総額10万円分のamazonギフトカード リポストで毎月296名に お知らせ提供 猫愛たっぷりtシャツ猫中毒を後世に伝えたい猫中毒展と作品集の支援募集,0,✅ Not Disaster
2025-06-18 09:12:34+00:00,1.93e+18,"RT @SuppressedNws: ⚡️🇵🇸JUST IN:

Earlier, Israeli occupation warplanes launched an airstrike on the tents of displaced people in the Al-Att…",,rt earlier israeli occupation warplanes launched airstrike tents displaced people alatt,1,🚨 Disaster
2025-06-18 09:12:34+00:00,361247001.0,"RT @MBDAGroup: Its name was revealed on the first day at #ParisAirShow: MBDA signed a deal to develop #FULGUR, a supersonic VSHORAD missile…",,rt name revealed first day mbda signed deal develop supersonic vshorad missile,0,✅ Not Disaster
2025-06-18 09:12:34+00:00,1.86e+18,@HYPEX Fire,,fire,0,✅ Not Disaster
2025-06-18 09:12:33+00:00,1.59e+18,"RT @JondavidRLongo: Richard Wozniak of Slippery Rock, Butler County, Pa has deliberately and purposefully posted “86 both of them” under a…",,rt richard wozniak slippery rock butler county pa deliberately purposefully posted 86,0,✅ Not Disaster
2025-06-18 09:12:33+00:00,1.27e+18,"RT @ouen296: 総額10万円分のAmazonギフトカード✨
リポストで毎月296名に🎁

／

お知らせ提供 @twels_inc

鍵盤部分をアレンジできるので、部屋の雰囲気にピアノの見た目を揃えられます！
https://t.co/hRuhkhZ2WV

＼

応…",,rt 総額10万円分のamazonギフトカード リポストで毎月296名に お知らせ提供 鍵盤部分をアレンジできるので部屋の雰囲気にピアノの見た目を揃えられます 応,0,✅ Not Disaster
2025-06-18 09:12:32+00:00,1.26e+18,"RT @LeahRain77: FIRE 🔥 
I particularly love Mel Gibson’s  use of the word malevolence … https://t.co/vRz4fvvLMi",,rt fire particularly love mel gibsons use word malevolence,0,✅ Not Disaster
2025-06-18 09:12:32+00:00,1.93e+18,"RT @ecsta_sy1: @rovercrc Forget slow rugs and fake pumps —
$ZOLA’s got real roots, real fire,
And real momentum.

X: @ZOLActo2
CA: 6m2Seubv…",,rt forget slow rugs fake pumps zolas got real roots real fire real momentum x ca 6m2seubv,0,✅ Not Disaster
2025-06-18 09:12:32+00:00,588961326.0,"RT @ignis_fatum: ⚠️Unconfirmed reports of explosions and a fire in the US controlled part of the #Baghdad airport in #Iraq
#Iran",,rt unconfirmed reports explosions fire us controlled part airport,0,✅ Not Disaster
2025-06-18 09:12:32+00:00,1.85e+18,"😱🔝🔝https://t.co/gha3kGkiBK

 Quasar Fire Desodorante Colônia 100ml *R$145.11 EM 5X SEM JUROS* 👉🏻 USAR CUPOM: BELEZA12 https://t.co/CWKs0oKTnz",,quasar fire desodorante colônia 100ml r14511 em 5x sem juros usar cupom beleza12,0,✅ Not Disaster
2025-06-18 09:12:31+00:00,1.92e+18,@174Bazel Grace wrapped in fire. 👑🔥🌸�,,grace wrapped fire,0,✅ Not Disaster
2025-06-18 09:12:31+00:00,1.93e+18,@Levar2002 $MEME is on fire! 🔥💥 Explosive growth ahead!,,meme fire explosive growth ahead,0,✅ Not Disaster
2025-06-18 09:12:31+00:00,873998606.0,"RT @vonderleyen: We congratulated President Lee Jae-myung on his landslide election victory.

Europe and the Republic of Korea are closer t…",,rt congratulated president lee jaemyung landslide election victory europe republic korea closer,0,✅ Not Disaster
2025-06-18 09:12:31+00:00,1.35e+18,@ManUtd Fire the graphic designer who approved this bruh wtf is that,,fire graphic designer approved bruh wtf,0,✅ Not Disaster
2025-06-18 09:12:31+00:00,1.34e+18,"@jacksonhinklle Liar liar pants on fire😂 these Zionists keep exposing themselves . He has no idea about Iran population yet claims they are after Trump . When it eas trump who attacked them first and israel America govt same shit ,they both are Zio ists who want war dor their benefit.",,liar liar pants fire zionists keep exposing idea iran population yet claims trump eas trump attacked first israel america govt shit zio ists want war dor benefit,1,🚨 Disaster
2025-06-18 09:12:30+00:00,1.88e+18,"RT @thebotofyou: you're running after something
that you'll never kill
if this is what you want
then fire at will",,rt youre running something youll never kill want fire,0,✅ Not Disaster
